week,location,average_price
27/12/2008,103.39(83.66),87.25(78.42)
20/12/2008,104.46(83.94),89.05(78.92)
13/12/2008,105.00(81.51),89.91(76.62)
06/12/2008,108.20(79.50),94.72(75.04)
29/11/2008,109.96(78.50),96.85(73.10)
22/11/2008,108.40(77.26),96.76(72.74)
15/11/2008,109.03(77.00),98.77(71.39)
08/11/2008,107.71(78.66),100.19(72.08)
01/11/2008,109.46(76.47),101.34(70.76)
25/10/2008,114.23(76.01),106.50(N.S.)
18/10/2008,113.59(N.S.),107.29(71.50)
11/10/2008,N.S.(75.54),N.S.(70.76)
04/10/2008,111.43(73.87),105.19(69.29)
27/09/2008,109.64(74.28),105.57(68.27)
20/09/2008,108.36(74.81),102.49(66.93)
13/09/2008,103.26(73.41),98.78(66.02)
06/09/2008,102.05(74.76),97.33(67.58)
30/08/2008,100.87(74.50),95.96(66.88)
23/08/2008,102.00(74.45),96.18(67.45)
16/08/2008,100.64(75.14),95.55(68.44)
09/08/2008,98.50(73.69),93.18(67.86)
02/08/2008,97.27(75.89),92.36(68.55)
26/07/2008,97.86(75.46),91.84(72.07)
19/07/2008,99.42(77.32),91.65(69.75)
12/07/2008,100.11(80.00),92.86(72.08)
05/07/2008,101.61(83.40),93.22(75.02)
28/06/2008,102.25(85.34),94.94(78.92)
21/06/2008,101.00(83.83),95.82(81.29)
14/06/2008,95.50(80.11),93.95(80.36)
07/06/2008,91.69(77.50),89.09(75.53)
31/05/2008,91.23(76.47),87.17(73.10)
24/05/2008,92.47(74.43),87.21(69.81)
17/05/2008,92.56(74.34),87.31(69.72)
10/05/2008,93.09(75.21),87.51(69.99)
03/05/2008,95.14(79.15),87.51(71.68)
26/04/2008,97.53(84.62),90.29(75.21)
19/04/2008,94.81(81.95),N.S.(81.14)
12/04/2008,87.47(89.83),83.97(84.71)
05/04/2008,79.95(72.21),65.64(61.47)
29/03/2008,64.49(54.04),N.S.(55.37)
22/03/2008,N.S.(N.S.),58.96(N.S.)
15/03/2008,N.S.(N.S.),N.S.(54.39)
08/03/2008,66.06(55.19),N.S.(N.S.)
01/03/2008,N.S.(N.S.),55.65(N.S.)
23/02/2008,65.69(58.84),59.39(57.17)
16/02/2008,67.81(59.7),62.5(N.S.)
09/02/2008,70.4(62.47),63.28(61.12)
02/02/2008,70.39(67.24),64.99(60.77)
26/01/2008,73.38(65.99),65.66(60.58)
19/01/2008,76.25(66.63),71.01(61.2)
12/01/2008,78.73(67.67),73.97(61.08)
05/01/2008,79.79(67.68),76.19(61.51)
26/12/2009,122.39 (103.39),107.25 (87.25)
19/12/2009,122.95 (104.46),111.26 (89.05)
12/12/2009,123.65 (105.00),111.72 (89.91)
05/12/2009,126.73 (108.20),114.98 (94.72)
28/11/2009,126.24 (109.96),120.06 (96.85)
21/11/2009,132.46 (108.40),118.99 (96.76)
14/11/2009,129.38 (109.03),120.09 (98.77)
07/11/2009,129.75 (107.71),118.65 (100.19)
31/10/2009,132.56 (109.46),119.64 (101.34)
24/10/2009,128.85 (114.23),119.67 (106.50)
17/10/2009,130.14 (113.59),119.69 (107.29)
10/10/2009,129.80((N.S),117.34 ((N.S)
03/10/2009,N.S (111.43),N.S (105.19)
26/09/2009,129.70 (109.64),114.83 (105.57)
19/09/2009,124.18 (108.36),114.69 (102.49)
12/09/2009,121.40 (103.26),112.62 (98.78)
05/09/2009,122.13 (102.05),112.43 (97.33)
29/08/2009,123.21 (100.87 ),114.19 (95.96)
22/08/2009,126.20 (102.00),114.15 (96.18)
15/08/2009,123.83 (100.64),113.56 (95.55)
08/08/2009,122.81 (98.50),112.15 (93.18)
01/08/2009,120.93 (97.27),112.08 (92.36)
25/07/2009,120.67 (97.86),107.28 (91.84)
18/07/2009,124.59 (99.42),106.58 (91.65)
11/07/2009,127.35 (100.11),116.15 (92.86)
04/07/2009,128.69 (101.61),124.03 (93.22)
27/06/2009,130.26 (102.25),125.71 (94.94)
20/06/2009,130.70 (101.00),126.37 (95.82)
13/06/2009,130.55 (95.50),125.04 (93.95)
06/06/2009,134.80 (91.69),N.S.    (89.09)
30/05/2009,140.00 (91.23),133.75 (87.17)
23/05/2009,139.96 (92.47),133.55 (87.21)
16/05/2009,137.33 (92.56),131.05 (87.31)
